shipment_mode,total_cost
Air,11220.765
Air,10136.5
Ocean,10515.4
Air,89834.87
Air,9739.35
Air,49670.5
Air,28692.75
Air,51409.65
Air,15143.7
Air,11162.7
Air,10065.44
Ocean,34769.25
Air,128655.698
Air,45379.3
Air,20299.4
Ocean,18839.5
Ocean,8443.2
Ocean,32587.5
Ocean,3434
Ocean,52029
Air,89280
Ocean,110940
Ocean,51010.05
Air,52897.6
Air,9399.6
Ocean,20067.8775
Air,855.5
Air,18362.6495
Air,51004.5
Air,52098
Ocean,10568.5
Air,18932
Ocean,15000.81
Air,60908.45
Ocean,2481.3
Air,19470.9
Ocean,51394.3775
Ocean,13494
Ocean,30849.5
Ocean,17128.56
Ocean,29963.5
Air,29760
Ocean,23434.5
Air,17408.645
Air,50644.5
Air,32533.48
Air,7066.371145
Air,37806.75
Ocean,55795.278
Ocean,20879.75
Air,46435.7095
Air,9779.7
Ocean,10862.4
Air,19019.11
Ocean,50502.4704
Ocean,51309.75
Air,7513.56
Ocean,18992.5632
Air,3477.375
Air,80775.96
Ocean,5007.123
Ocean,90737.25
Ocean,20449.944
Air,50957.5
Air,4637.5
Air,90888.9
Air,15526.44
Ocean,45432.527
Air,51343.224
Air,46752.9
Ocean,45980
Ocean,90647.5
Air,20911.6
Air,101142.201
Ocean,75575.88
Air,7039.53
Ocean,5493.15
Air,90942.4
Ocean,160754.3424
Air,10093.4
Air,30934.2
Ocean,80421.25
Air,20205
Air,25459.397
Air,10862.5
Air,166194.24
Air,18698
Ocean,10914
Ocean,44680
Air,10750.8
Ocean,97627.2
Air,25978.4
Air,798.32
Air,90730.20095
Air,27312.75
Ocean,19322.1
Ocean,28907.142
Air,134547.708
Air,65485
Air,40481.664
Ocean,4837.25
Air,25930.5
Air,53958
Air,27981.39
Air,27572
Air,54280.6
Ocean,175711.8
Air,100819.2
Ocean,2310.6025
Ocean,20546.1
Air,9394
Air,93256.2
Ocean,54238.25
Air,17468.1549
Ocean,13895.75
Air,17098.4585
Air,92146.75
